번호,분류,언론사,본문
13,사회,세계일보,"4차 산업혁명 시대에는 인공지능, 로봇공학, 자동화가 업무 현장에서 급속도로 확장되는 상황이 시작되었다. 이러한 추세는 많은 조직이 예상했던 것보다 훨씬 더 빠르게 확산되고 있다. 아울러 세계 유수 기업들은 첨단기술이 인간을 대체하지 않고 보완할 때 가장 효과적이라는 점을 인식하고 있다. 
 
 이러한 기술력이 업무 현장에 스며들면서 비판적 사고, 창의.."
14,IT,디지털타임스,"국내 연구진이 거미의 먹이 포획 행동을 본떠 주변의 물체를 감지해 잡을 수 있는 거미줄 로봇을 개발했다. 금속이나 세라믹 등 단단한 소재의 로봇을 활용할 수 없는 영역에 적용할 수 있는 소프트 로봇기술을 발전시키는 데 기여할 것으로 기대된다.



한국연구재단은 선정윤 김호영 서울대 교수 연구팀이 거미의 행동학적 특성에 착안해 전기적으로 주변의 물체를 .."
15,IT,헤럴드경제,"[헤럴드경제=구본혁 기자] 거미의 먹이잡기를 모사해 금속이나 세라믹 등 주변 물체를 감지해 붙잡을 수 있는 인공 거미줄 로봇이 국내 연구진에 의해 개발됐다. 
 
 한국연구재단은 서울대학교 선정윤 김호영 교수 연구팀이 거미의 행동학적 특성에 착안해 전기적으로 주변의 물체를 감지해 포획하고 불필요한 오염물을 세정하는 거미줄 로봇을 개발했다고 16일 밝혔다.."
16,IT,한국경제,"영화 '어벤저스' 시리즈를 제작한 마블 스튜디오의 주인공 스파이더맨이 사용하는 거미줄과 같은 섬유 형태 로봇이 나왔다. '액추에이터(모터 드라이버 감속기 등 물리적 동작을 가능케 하는 로봇 핵심 구성요소)'를 유연하게 만드는 원천기술이다. 
 
과학기술정보통신부 산하 한국연구재단은 선정윤 서울대 재료공학부 교수와 이영훈 송원준 박사과정 연구원, 김호영 .."
17,경제,경상일보,"누구든 일상에 스마트폰 없는 생활을 상상할 수 없다. 이처럼 개인의 생활에 깊숙이 파고든 정보통신기술의 발전은 날로 그 파급력이 커가고 있다. 이에 비해 산업에서의 요구는 더욱 크고 중요하다. 산업 전반에 걸쳐 정보통신기술은 생산성 향상과 효율화를 주도하고 더불어 안전과 환경을 챙기는 주요한 수단으로 작용한다. 최근 들어 AI, 로봇공학, 사물인터넷, .."
18,IT,조선일보,"이노베이션 카운실 발족 디지털 전환 기반 미래 기술 발굴 및 신사업 경쟁력 강화 
 
LG전자(066570)가 디지털 전환에 기반한 연구개발(R&D) 혁신을 위해 글로벌 전문가와 교류하는 이노베이션 카운실을 발족했다고 14일 밝혔다. 박일평 LG전자 사장(최고기술책임자 CTO)이 의장을 맡고 인공지능, 빅데이터, 클라우드, 로봇, 모빌리티 등 각 분야.."
19,국제,중앙일보,"━
 무려 14개다. 
 미국이 중국으로 수출을 규제하는 분야 개수다. 나열해 보면 이렇다. 
 「 바이오, 인공지능 및 머신러닝, 위치항법기술, 마이크로프로세서 기술, 첨단컴퓨팅, 데이터 분석, 양자 정보 및 양자 센싱, 물류 기술, 3D프린팅, 로봇공학, 뇌 컴퓨터 인터페이스, 극초음속학, 첨단신소재, 첨단감시기술. 
 
」 새 먹거리로 주목받는 기.."
20,경제,매일경제,"“2022년까지 중소기업 스마트팩토리 3만개를 보급하고 2030년 스마트산업단지 20개를 조성하겠다.” 정부가 야심 차게 내세운 목표다. 
정부가 제조업 혁신을 위해 스마트팩토리 육성에 드라이브를 걸고 있다. 올해 스마트팩토리 보급 예산으로 4150억원을 배정했다. 하지만 선진국과 비교하면 아직 갈 길이 멀다는 의견이 쏟아진다. 무작정 스마트팩토리 수를.."
21,IT,조선일보,"코로나 바이러스도 아랑곳하지 않고 24시간 내내 실험을 할 수 있는 과학자가 등장했다. 주인공은 팔 하나 달린 로봇. 이미 사람들이 떠난 대학 실험실에서 혼자서 새로운 물질을 합성하는 데에도 성공했다. 바이러스도 시간 외 근무도 문제없는 로봇 과학자가 등장한 것이다.
 
영국 리버풀대 화학과의 앤드루 쿠퍼 교수 연구진은 8일(현지 시각) 국제 학술지 ‘.."
22,IT,영남일보,"유재석 DGIST(총장 국양) 로봇공학전공 교수팀은 최근 미국 피츠버그 의과대학과의 공동연구를 통해 초해상도 초음파 영상 기술을 개발했다. 이는 기존 초음파 영상 기기의 한계를 뛰어넘는 기술로 기존 촬영이 불가능했던 병의 진행 과정 모니터링이 가능해졌다. 

 박종문기자 kpjm@yeongnam.com"
23,IT,매일신문,"대구경북과학기술원(DGIST 총장 국양) 로봇공학전공 유재석 교수팀이 미국 피츠버그 의과대학과의 공동연구를 통해 초해상도(Super-resolution) 초음파 영상 기술을 개발했다. 
 
 개발된 기술은 기존 초음파 영상 기기가 갖던 한계들을 뛰어넘는 기술로 기존 촬영이 불가능했던 병의 진행과정 모니터링이 가능해 향후 관련 기술을 의료 분야의 여러 방.."
24,정치,전자신문,"미래통합당 비상대책위원회가 '미래산업일자리특별위원회'를 만들어 4차 산업혁명 시대 일자리 환경 변화에 대응한다. 산학연 전문가가 신규 일자리 전망을 분석하고 인력 양성책을 마련한다. 김종인 비대위원장이 제기했던 '데이터청' 관련 이슈도 특위에서 다룬다.

통합당 비대위는 2일 조명희 의원을 위원장으로 하는 미래산업일자리특위 출범을 의결했다. 경제혁신특위.."
25,IT,경향신문,"국내 연구진이 초음파 영상의 해상도를 크게 끌어올릴 수 있는 기술을 개발했다.

대구경북과학기술원(DGIST) 로봇공학 전공 유재석 교수팀은 미국 피츠버그대 의대와 공동연구를 통해 ‘초해상도(Super-resolution) 초음파 영상 기술’을 개발했다고 2일 밝혔다. 연구 결과는 국제 학술지 ‘키드니 인터내셔널’ 최근호에 발표됐다.

연구팀에 따르면 .."
26,IT,조선일보,"유재석 교수팀, 조영제 입자 개별 분석해 32μm 물체 간격 구분 성공 
 
국내 연구진이 초음파 영상의 해상도를 기존 대비 6배 높이는 기술을 개발했다. 미세한 혈관을 관찰해야만 가능했던 질병 진단이 가능해질 것으로 기대된다. 
 
유재석 대구경북과학기술원(DGIST) 로봇공학전공 교수 연구팀은 미국 피츠버그대 의과대학과 함께 ‘초해상도 초음파 영상 .."
27,IT,서울신문,"한국 과학자가 참여한 미국 연구진이 미세혈관 손상까지 찾아낼 수 있는 고해상도 초음파 영상 기술을 개발했다.
미국 피츠버그대 생체공학과, 피츠버그대 의대 초음파분자이미징 및 치료센터 연구팀은 기존 초음파 기술로는 불가능했던 질환의 진행과정을 관찰할 수 있는 초고해상도 초음파 영상기술을 개발했다고 2일 밝혔다. 이번 연구결과는 의학분야 국제학술지 ‘국제 .."
28,IT,아시아경제,"[아시아경제 황준호 기자] 국내 연구진이 초음파 영상의 해상도를 최대 8배까지 높이는 기술을 개발했다. 초음파 영상의 공간 해상도의 한계라고 여겨졌던 음향회절한계를 극복한 것이다. 독맥경화로 인한 경화반의 파열취약성을 확인하거나 뇌의 실시간 혈류변화 등 다양한 질병 치료를 위한 눈의 역할을 할 기술로 평가 받는다. 
 
유재석 대구경북과학기술원 로봇공학.."
29,IT,헤럴드경제,"[헤럴드경제=구본혁 기자] 대구경북과학기술원(DGIST) 로봇공학전공 유재석 교수팀이 미국 피츠버그 의과대학과의 공동연구를 통해 초해상도 초음파 영상 기술을 개발했다고 2일 밝혔다. 이 기술은 기존 초음파 영상 기기가 갖던 한계들을 뛰어넘는 기술로 기존 촬영이 불가능했던 병의 진행과정 모니터링이 가능, 향후 다양한 질병 진단에 활용이 기대된다. 의료 분.."
30,사회,경남도민일보,"학교법인명덕육영회(이사장 윤정숙)산하 경남로봇고등학교(교장 노승문)는 6월 20일부터 7월 11일까지 4주간 경남로봇고등학교 로봇스쿨(진로체험실)에서 '진로직업체험교육'을 실시하고 있다. 

이번 '진로직업체험교육'에서는 체험 중심의 진로직업교육으로 다양한 진로탐색의 기회를 제공하고 재능과 소질을 가진 학생에게 로봇분야 경쟁.."
31,IT,서울경제,"데니스 홍 UCLA 교수가 30일 그랜드&비스타워커힐서울에서 개막한 ‘서울포럼 2020’의 부대행사 ‘유스포럼(Youth Forum)’에서 강연을 하고 있다./권욱기자 
“로봇이 망가지지 않으면 배울 수 없습니다. 즉 실패를 두려워하면 도전할 수 없습니다. 또 긍정은 언제나 길을 찾게 합니다. ‘잘 될 거야’ 같은 자기 최면이 아니라 조그만 일에.."
32,IT,중앙일보,"2019년 11월 개봉 예정이었던 영화 ‘소닉 더 헤지호그’의 예고편이 공개되자 팬들은 패닉에 빠졌습니다. 이 영화는 일본 게임 '소닉'의 주인공 캐릭터를 모티브로 만든 애니메이션인데, 예고편 속 모습이 게임과 너무나 달랐기 때문입니다. 제작사는 사람 같은 눈과 치아, 털에 뒤덮인 손을 구현하며 게임 캐릭터가 마치 사람처럼 보이도록 의도했지만, 완벽히 .."
33,국제,머니투데이,"[머니투데이 진경진 기자] 코로나19(COVID-19) 팬데믹(세계적 대유행)에서도 성장한 세계 100대 기업에는 중국의 24개 업체가 순위에 들었다. 한국과 일본은 각각 3개씩 이름을 올렸다. 국내총생산(GDP) 규모로 따졌을 때 단순 비교할 수 없지만 IT(정보기술) 제조업 등에서 한국 기업 경쟁력이 밀렸다는 지적도 나온다.

 알리바바의 공동창업자.."
34,문화,경향신문,"신과 로봇
에이드리엔 메이어 지음 안인희 옮김
을유문화사 | 452쪽 | 2만원 

그리스 신화 속 지구 최초의 ‘로봇’ 
죽음을 두려워했던 청동 거인 탈로스 
추한 영생을 강요받은 티토노스의 비극
‘불사’ 대신 필멸의 운명 택한 오디세우스
‘인간이란 무엇인가’ 근본적인 질문

“충분히 발달한 과학기술은 마법과 구별할 수 없다.”(아서 C 클라크)

고.."
35,경제,머니투데이,"[머니투데이 이정혁 기자] [편집자주] ESG(환경, 사회적책임, 지배구조)에 대한 관심이 고조되고 있습니다. ESG 친화기업에 투자하는 글로벌 자금은 30조 달러를 넘어섰고, 지원법을 도입하는 국가도 생겨났습니다. ESG는 성장정체에 직면한 한국경제에 새로운 활력을 불어넣을 수단이자 목적으로 충분한 가치가 있습니다. ‘2020 새로운 10년 ESG’ .."
36,IT,무등일보,AI(인공지능) 시대가 열렸다. 지구촌을 흔들고 있는 '코로나19'는 막연했던 4차산업혁명이나 AI에 대해 단기간에 체감케하며 첨단 기술 인력 양성에 대한 필요성을 분명히했다. 정부가 2030년까지 최대 455조원의 AI 경제 효과창출을 목표로 정책을 수립하고 있는 가운데 광주시의 '인공지능 중심도시' 선언도 한 몫을 하고 있다. 오는 2024년까지 4..
37,사회,문화일보,"대구 하빈초등학교 신민철 교사



3년전부터 ICT수업자료 활용 

‘플립러닝’ 등 온라인학습 준비 



코로나 이후 교사 100명과 

수업결손 해소 프로젝트 진행 



“교사 역할은 티칭 아닌 코칭 

학교 아닌 곳서도 교육 가능”



“정보통신기술(ICT)을 활용한 에듀테크(edutech 교육과 기술의 합성어) 수업에서 교사의 역할은 ‘수업.."
38,사회,국제신문,네덜란드의 대기화학자로 노벨상을 수상한 파울 크뤼천(Paul Jozef Crutzen)은 2002년 저명한 과학 학술지 ‘네이처’에 1쪽짜리 짧은 글을 발표했다. 제목은 ‘인류의 지질학(Geology of mankind)’인데 좀 알쏭달쏭하다. 이 글에서 그는 “지구적 환경에 인간이 미치는 영향이 지난 3세기 동안 증가했다. 인간의 온실가스 배출로 인해..
39,사회,머니투데이,"[머니투데이 박계현 기자] [편집자주] 인공지능(AI), 빅데이터, 사물인터넷(IoT), 로봇기술, 생명과학이 주도하는 4차 산업혁명이 전세계 화두로 제시되고 있다. 하루가 다르게 급진전되는 기술을 어떻게 활용하느냐에 따라 양날의 칼이 될 수 있다. 인류의 삶을 풍요롭게 만들 수 있지만, 심각한 부작용을 초래할 수 있다. 올해 U클린 캠페인은 '착한 기.."
40,IT,아주경제,"“로봇이 인간의 일자리를 파괴한다고 경계를 하는 사람이 많습니다. 하지만 인간과 로봇은 경쟁상대가 아닙니다. 궁극적으로 서로 공존하며 상호보완적으로 협동하는 형태가 될 것입니다.” 
 
문전일 로봇산업진흥원장이 로봇의 일자리 침투를 우려하며 기자가 질문하자 이같이 답했다. 최근 코로나19로 인한 로봇의 활용성이 커지면서 사람들의 관심도 늘었다. 미래사회.."
41,IT,내일신문,"문화체육관광부는 한국문화정보원과 함께 현재 박물관과 도서관 등에서 운영하고 있는 인공지능 기반 전시 안내 로봇(큐아이)을 국립국악원, 국립아시아문화전당, 국립태권도박물관 등에도 확대 운영한다고 18일 밝혔다. 
 전시 안내 로봇 큐아이. 사진 문화체육관광부 제공 
큐아이는 인공지능과 빅데이터, 로봇공학, 자율주행 등 첨단기술을 접목한 전시 안내 로봇이다.."
42,IT,머니투데이,"[머니투데이 김고금평 기자] [문체부, 안내 로봇 ‘큐아이’ 3대 확대 운영키로 “문화향유 서비스 지원에 큰 역할”]


 전시 안내 로봇 큐아이를 활용한 모습. /사진제공=문화체육관광부
지난 2018년부터 박물관 등 6개 기관에서 운영 중이던 전시 안내 로봇이 확대 운영된다. 

문화체육관광부는 한국문화정보원과 함께 현재 박물관과 도서관 등에서 운영하.."
43,IT,아시아경제,"[아시아경제 김흥순 기자] 문화체육관광부는 한국문화정보원과 현재 박물관, 도서관 등에서 운영하고 있는 인공지능 기반 전시 안내 로봇(큐아이)을 국립국악원, 국립아시아문화전당, 국립태권도박물관 등에도 확대해 운영한다고 18일 밝혔다. 
 
큐아이는 인공지능과 빅데이터, 로봇공학, 자율주행 등 첨단기술을 접목한 전시 안내 로봇이다. 2018년부터 박물관과 .."
44,IT,매일경제,"코로나19로 도슨트(해설사)의 대면 전시 안내가 어려진 요즘, 인공지능(AI) 로봇이 안내하는 전시가 늘어난다. 
문화체육관광부와 한국문화정보원은 18일 현재 박물관과 도서관 등에서 운영하고 있는 인공지능 기반 전시 안내 로봇 '큐아이'를 국립국악원, 국립아시아문화전당, 국립태권도박물관 등에도 확대해 운영한다고 밝혔다.
'큐아이'는 인공지능과 거대자료(.."
45,IT,헤럴드경제,"[헤럴드경제=조용직 기자] 박물관과 도서관 등에서 활약하고 있는 인공지능 전시안내 로봇 ‘큐아이’가 국립국악원, 국립아시아문화전당, 국립태권도박물관에도 투입된다. 
 
 문화체육관광부와 한국문화정보원은 큐아이를 이 같이 확대 운영한다고 18일 밝혔다. 
 
 큐아이가 2018년부터 국립중앙박물관, 국립나주박물관, 지난 해부터 국립제주박물관, 국립중앙도서.."
46,IT,한국일보,"디지스트 김소희 로봇공학전공 교수팀, 3D프린팅으로 다채널 측정장치 개발


뇌신경계 신약 개발 과정에 실험동물로 널리 쓰이는 물고기인 제브라피쉬라의 뇌파를 동시에 측정할 수 있는 기술이 개발됐다. 신약 개발 시간을 단축하고 비용절감에 크게 기여할 것으로 보인다.
대구경북과학기술원(DGIST, 디지스트) 김소희 로봇공학전공 교수와 이유현 연구원 연구팀은.."
47,IT,매일신문,"대구경북과학기술원(DGIST 총장 국양) 로봇공학전공 김소희 교수 연구팀이 여러 마리 제브라피쉬(물고기)의 뇌파를 동시에 측정하는 기술 개발과 이를 활용한 뇌전증 치료약의 효과 검증에 성공했다. 
 
 한 마리의 뇌파만을 측정할 수 있던 기존 기술의 한계를 극복한 기술로, 향후 뇌신경계 질환 치료에 쓰이는 신약 후보물질 연구의 정확도와 효율성 향상에 크.."
48,IT,서울경제,"국내 연구팀이 여러 마리 제브러피시(줄무늬가 있는 열대어)의 뇌파를 동시에 측정하는 기술을 개발해 뇌신경계 질환 신약 개발 연구의 정확도와 효율성이 높아질 것으로 기대된다. 
 
대구 경북과학기술원(DGIST 총장 국양)은 김소희 로봇공학전공 교수 연구팀이 여러 마리 성체(成體) 제브러피시의 뇌파를 동시에 측정하는 기술을 개발해 뇌전증 치료약의 효과를 .."
49,IT,서울신문,"DGIST 로봇공학전공 김소희 교수 연구팀이 여러 마리 성체 제브라피쉬의 뇌파를 동시에 측정하는 기술 개발과 이를 활용한 뇌전증 치료약의 효과 검증에 성공했다. 한 마리의 뇌파만을 측정할 수 있던 기존 기술의 한계를 극복한 기술로, 향후 뇌신경계 질환 치료에 쓰이는 신약 후보물질 연구의 정확도와 효율성 향상에 크게 기여할 수 있을 것으로 기대된다.
제브.."
50,지역,한겨레,"다음의 공통점은 무엇일까? 공기식 브레이크, 토마토 케첩, 증기선, 라디오 방송, 지프 자동차, 원자력 발전, 아폴로 우주선, 맥도널드 빅맥 버거, 소아마비 백신, 심장이식 수술 . 잘 모르겠으면, 다음 사람들의 공통점은? 앤디 워홀, 조지 벤슨, 토마스 멜론, 헨리 하인즈, 앤드류 카네기 . 아마 카네기의 이름을 보고 정답을 맞히는 독자들이 많지 않을.."
51,IT,전자신문,"국내 대학 연구팀이 여러 마리의 물고기 뇌파를 동시에 측정할 수 있는 기술을 개발했다. 뇌신경계 질환 신약개발에 유용하게 쓰일 전망이다.

대구경북과학기술원(DGIST?총장 국양)은 김소희 로봇공학전공 교수 연구팀이 여러 마리 성체 제브라피시 뇌파를 동시에 측정하는 기술을 개발하고, 이를 활용해 뇌전증 치료약 효과 검증에 성공했다고 17일 밝혔다. 
 .."
52,IT,헤럴드경제,[헤럴드경제=구본혁 기자] 대구경북과학기술원(DGIST) 로봇공학전공 김소희 교수 연구팀이 여러 마리 제브라피쉬의 뇌파를 동시에 측정하는 기술을 개발하고 뇌전증 치료제의 효과 검증에 성공했다. 한 마리의 뇌파만을 측정할 수 있던 기존 기술의 한계를 극복한 기술로 향후 뇌신경계 질환 치료에 쓰이는 신약 후보물질 연구의 정확도와 효율성 향상에 크게 기여할 ..
53,IT,아시아경제,"[아시아경제 황준호 기자] 국내 연구진이 제브라피쉬 여러 마리의 뇌파를 동시에 측정할 수 있는 기술을 개발했다. 제프라피쉬는 인간과 70% 정도 유정정보가 비슷해 신약 개발을 위한 실험 대상으로 주목 받고 있는데, 이 기술을 적용할 경우 뇌전증, 수면장애 등 다양한 뇌질환 신약 개발의 속도를 높여 줄 수 있을 것으로 예상된다. 
 
김소희 대구경북과학기.."
54,지역,머니투데이,"[머니투데이 대학경제 임홍조 기자] 부천대학교는 최근 이혜윤 학생을 비롯한 4명의 재학생이 '2020년 전국 전문대학생 학습방법 경진대회'에서 장려상을 입상했다고 16일 밝혔다.

전문대학혁신지원사업발전협의회(이하 협의회)가 주관한 이번 경진대회는 코로나19 확산으로 인해 재택수업 중인 전문대학생을 격려하고, 재택 학습방법의 우수 사례를 발굴 공유하고자.."
55,IT,아시아경제,"[아시아경제 뉴욕=백종민 특파원] 신종 코로나바이러스감염증(코로나19) 이후 전 세계 각국 정부와 기업은 새로운 산업의 부상과 변화를 예상하고 있다. 창업을 지원하고 일자리를 창출하기 위한 획기적인 도전이 필요한 시기다. 토머스 프레이 다빈치연구소장이 판단한 코로나19 이후 유망 분야를 소개한다. 
 
◆리쇼어링= 이미 역세계화 추세가 나타나고 있다. .."
56,IT,조선일보,"하수도 벽에 발만 대보면 상태가 어떤지 바로 알아내는 로봇개가 등장했다. 무인차처럼 스스로 길을 찾을 수 있어 사람 도움도 그리 필요하지 않다.
 
네 발로 움직이는 로봇개가 위험 작업 현장에서 코로나 환자 치료와 방역까지 활동 무대를 넓히고 있다. 사람과 가장 가까운 동물인 개를 모방했기 때문에 사람이 일하는 곳에 가장 적합한 로봇이라는 평가를 받고 .."
57,IT,서울신문,"DGIST 대학원생들이 한국연구재단에서 지원하는 ‘2020 이공분야 학문후속세대지원사업’의 박사과정생 연구장려지원금 부문에 선정됐다.
선정된 학생들은 로봇공학전공 최정현, 뉴바이올로지전공 노현철, 뇌 인지과학전공 주빛나, 정민석 학생 등 모두 4명이다. 모두 박사과정에 재학 중으로, 자신만의 연구주제를 구상, 이에 관한 계획과 역량을 다방면에서 평가받아.."
58,IT,매일신문,"대구경북과학기술원(DGIST 총장 국양) 대학원생들이 한국연구재단에서 지원하는 '2020 이공분야 학문후속세대지원사업'의 박사과정생 연구장려지원금 부문에 선정됐다. 
 
 뽑힌 학생들은 로봇공학전공 최정현, 뉴바이올로지전공 노현철, 뇌 인지과학전공 주빛나, 정민석 등 총 4명이다. 이들은 모두 박사과정생들로 향후 2년간 각종 연구를 진행할 수 있도록 전.."
59,IT,전자신문,"DGIST(총장 국양) 대학원생들이 한국연구재단에서 지원하는 '2020 이공분야 학문후속세대지원사업'의 박사과정생 연구장려지원금 부문에 선정됐다.

선정된 학생은 로봇공학전공 최정현, 뉴바이올로지전공 노현철, 뇌 인지과학전공 주빛나, 정민석 등 4명이다. 박사과정에 재학 중인 이들은 향후 2년간 자신만의 연구를 진행할 수 있게 됐다. 최정현 학생은 '소.."
60,문화,서울경제,"스튜어트 러셀(58) 교수는 미국 버클리 캘리포니아대(UC버클리) 전기공학 및 컴퓨터과학부 교수이자 UC버클리 인공지능연구소(Center for Human-Compatible Artificial Intelligence)를 이끄는 인공지능(AI) 분야의 세계적인 석학이다. 그는 1982년 옥스퍼드대 물리학과를 졸업하고, 1986년 스탠퍼드대에서 컴퓨터공학.."
61,IT,서울경제,"세계적인 인공지능(AI) 전문가 스튜어트 러셀 교수는 어떤 과학기술 분야보다도 AI가 포스트 코로나 시대에 중요한 역할을 할 것이라고 꼬집었다. AI를 통해 전염병을 미리 발견할 수 있는 것은 물론 중환자실에 있는 환자들을 살리는 데도 AI가 주요한 역할을 할 수 있다는 것이다. 
 
러셀 교수는 오는 30일부터 다음 달 1일까지 ‘포스트코로나 국가생존.."
62,정치,매일경제,"◆ 매경 글로벌포럼 ◆
 11일 열리는 제28회 매경 글로벌포럼은 코로나19 위기를 진단하고 이를 극복하기 위한 비전과 액션플랜이 논의되는 자리다.
매일경제는 최근 코로나19 위기의 현주소를 돌아보고 경제산업 분야별 액션플랜을 담은 심층 리포트인 '바운스백 코리아' 시리즈를 기획 보도한 바 있다. 무너져가는 경제를 지탱하기 위한 '스탠드 스틸' 전략의 .."
63,IT,동아일보,지난해 9월 미국 로봇회사 보스턴 다이내믹스는 휴머노이드 아틀라스가 피겨스케이트 선수처럼 뛰어올라 두 다리를 찢는 영상을 공개했어요. 아틀라스는 이전에도 넘어질 뻔하다 금세 자세를 잡아 화제가 됐지요. 이처럼 힘 있게 움직이면서도 넘어지지 않는 2족 보행로봇은 처음이었죠. 박종우 서울대 기계항공공학부 교수는 “하드웨어도 정교하겠지만 각 부품을 조종하는 ..
64,정치,동아일보,"“학생 수가 계속 줄어드는데 대학 재정을 강화할 장기적인 계획이 있습니까?” 
 
 8일 오후 2시경 부산 금정구 부산외국어대 만오오디토리엄에 교수, 교직원, 학생 등 수십 명이 마스크를 쓴 채 앉아 있었다. 먼저 하병주 아랍지역학과 교수가 강단에 올라 이력과 자신이 생각하는 대학 발전 방안 등을 발표했다. 20분간의 발표 뒤엔 질의응답이 이어졌다. 잦.."
