Age,Experience,Income,CCAvg,Mortgage,Securities,CD,Online,CreditCard,Loan
62,38,45,1.3,0,0,0,1,0,0
40,15,82,1.0,309,0,0,0,0,0
58,34,92,2.8,103,0,0,0,0,0
39,14,39,0.5,0,0,0,1,0,0
65,40,81,1.8,0,0,0,1,0,0
54,29,35,1.5,0,0,0,1,0,0
58,33,61,2.3,193,0,0,1,0,0
41,16,73,3.0,0,0,0,1,0,0
32,7,112,4.6,366,0,0,0,0,0
54,29,12,0.2,0,0,0,1,0,0
52,26,38,0.9,0,0,0,1,0,0
58,32,73,0.7,0,0,0,1,1,0
37,13,84,3.6,0,1,0,0,0,0
39,15,78,2.4,118,0,0,1,0,0
60,35,80,0.5,0,0,0,1,0,0
31,5,115,1.3,101,0,0,1,1,0
34,8,82,2.7,251,0,0,1,0,0
38,14,74,0.0,0,1,0,1,0,0
41,16,70,0.5,0,0,0,0,1,0
28,4,81,1.5,276,0,0,1,0,0
58,34,149,7.2,0,0,1,1,1,1
31,1,51,1.8,0,0,0,0,0,0
30,4,39,1.1,0,0,0,1,0,0
53,29,98,1.8,0,0,0,0,0,0
58,33,45,2.1,0,0,0,1,1,0
59,32,49,2.5,0,0,0,1,0,0
49,25,128,0.4,0,0,0,0,0,0
59,34,42,1.5,0,1,1,0,1,0
59,35,18,1.2,0,0,0,1,0,0
51,25,31,0.4,161,0,0,1,1,0
35,11,58,2.0,149,0,0,1,1,0
33,9,48,2.1,0,0,0,0,1,0
25,1,54,1.6,0,0,0,1,1,0
49,23,70,1.5,0,0,0,0,0,0
59,35,124,7.4,0,0,0,0,1,0
46,19,84,2.7,0,0,0,1,1,0
50,25,83,3.6,188,0,0,1,0,0
52,28,163,0.4,116,0,0,1,0,0
48,22,42,2.2,0,0,0,0,0,0
46,22,118,7.5,0,0,1,1,1,0
26,0,132,6.5,0,0,0,0,1,1
57,32,24,1.3,0,0,0,1,1,0
60,36,22,1.0,0,1,1,1,1,0
54,29,58,1.3,0,0,0,0,0,0
24,0,60,1.6,0,0,0,1,0,0
26,0,15,0.4,0,0,0,0,1,0
41,17,83,2.7,0,0,0,1,1,0
32,6,79,1.5,0,0,0,1,1,0
61,35,41,1.7,0,1,0,1,0,0
29,0,134,6.5,0,0,0,0,0,1
61,35,80,2.8,0,0,0,1,0,0
38,12,52,2.0,0,0,0,0,0,0
28,4,70,2.6,0,0,0,1,0,0
53,27,92,1.1,0,1,0,0,0,0
27,1,43,1.5,0,0,0,1,0,0
25,1,21,1.0,0,0,0,0,0,0
33,9,23,0.9,0,0,0,1,1,0
50,26,13,1.0,0,0,0,1,0,0
27,1,112,2.1,0,0,0,0,1,0
27,1,138,2.0,0,0,0,1,0,0
52,28,11,0.4,0,1,0,0,0,0
38,13,171,7.8,0,0,0,1,0,0
58,34,42,1.5,0,0,0,1,1,0
42,17,168,7.9,0,0,0,1,0,1
45,20,85,1.1,0,1,0,1,0,0
52,25,44,1.0,135,0,0,1,0,0
29,3,65,1.8,244,0,0,0,0,0
53,29,24,0.2,0,0,0,1,1,0
62,37,11,0.1,0,0,0,1,0,0
51,27,38,1.0,164,0,0,1,0,0
36,12,10,0.7,81,0,0,0,0,0
24,0,135,1.5,0,0,0,1,0,0
29,3,148,4.1,0,0,0,1,0,1
52,26,63,1.5,0,1,0,1,0,0
39,14,115,1.0,0,0,0,1,0,0
48,23,45,0.3,0,0,0,1,1,0
46,21,159,1.9,315,0,0,1,0,1
64,40,169,2.1,122,0,0,1,0,0
55,29,112,1.4,0,0,0,1,0,0
60,36,93,4.3,0,0,0,1,0,0
51,25,29,0.3,140,0,0,0,0,0
50,23,85,2.7,0,0,0,1,0,0
48,24,21,0.6,0,0,0,1,1,0
53,29,144,6.8,0,0,0,1,0,0
34,10,13,1.0,95,1,0,1,0,0
48,24,165,5.0,0,0,0,0,1,0
55,31,9,0.7,89,0,0,1,0,0
27,3,59,0.0,90,1,0,1,0,0
36,11,158,5.1,0,0,1,1,1,1
