other vegetables,,,
ham,tropical fruit,other vegetables,milk
other vegetables,,,
curd,butter milk,cocoa drinks,salty snack
beer,,,
curd,dessert,soda,salty snack
milk,cream cheese,cereals,dog food
milk,salt,,
dessert,ice cream,,
sausage,soft cheese,coffee,
other vegetables,kimchi,waffles,dishes
ham,milk,rolls/buns,
other vegetables,ice cream,,
other vegetables,kimchi,,
soda,beer,white wine,prosecco
herbs,candy,,
frankfurter,ham,tropical fruit,pip fruit
beer,soju,Samgyeopsal,
curd,cream cheese,semi-finished bread,zwieback
frankfurter,tropical fruit,milk,spread cheese
other vegetables,,,
dog food,,,
specialty bar,,,
curd,salt,liquor,detergent
frankfurter,rolls/buns,,
soda,,,
beef,berries,root vegetables,milk
soju,beer,Samgyeopsal,
pork,beef,pip fruit,herbs
frankfurter,citrus fruit,UHT-milk,margarine
sausage,beer,liquor,
soju,beer,Samgyeopsal,
specialty chocolate,,,
curd,rolls/buns,,
soju,beer,Samgyeopsal,
milk,kimchi,newspapers,
rolls/buns,chewing gum,,
pork,root vegetables,other vegetables,milk
citrus fruit,pastry,,
potted plants,,,
rolls/buns,pastry,soda,
butter,yogurt,kimchi,soda
condensed milk,sugar,beer,Samgyeopsal
sausage,other vegetables,yogurt,soda
milk,beverages,UHT-milk,soda
sausage,pork,beef,milk
beverages,,,
beverages,specialty bar,,
kimchi,fruit/vegetable juice,,
newspapers,,,
cleaner,female sanitary products,,
sausage,soda,beer,Samgyeopsal
newspapers,,,
sausage,beef,citrus fruit,other vegetables
misc. beverages,newspapers,,
white wine,,,
sausage,sliced cheese,rolls/buns,soda
Samgyeopsal,curd,beer,cake bar
frankfurter,Samgyeopsal,beer,onions
kimchi,rolls/buns,soju,Samgyeopsal
soju,kimchi,Samgyeopsal,beer
tropical fruit,berries,root vegetables,other vegetables
Samgyeopsal,beer,other vegetables,curd
milk,mustard,kimchi,
sausage,beef,beverages,sliced cheese
frankfurter,sausage,root vegetables,butter
Samgyeopsal,beer,butter,rolls/buns
root vegetables,beverages,Instant food products,pickled vegetables
root vegetables,herbs,other vegetables,milk
milk,whipped/sour cream,semi-finished bread,margarine
citrus fruit,milk,curd,dessert
citrus fruit,curd,pastry,margarine
other vegetables,milk,kimchi,soda
citrus fruit,milk,rolls/buns,
sausage,oil,hygiene articles,napkins
frankfurter,beer,Samgyeopsal,grapes
hard cheese,rolls/buns,kimchi,newspapers
cream cheese,rolls/buns,soda,chocolate
turkey,beef,frozen vegetables,dishes
pork,other vegetables,whipped/sour cream,rolls/buns
milk,beverages,,
rolls/buns,soda,,
sausage,pip fruit,milk,curd
ice cream,,,
liquor,,,
pip fruit,other vegetables,fruit/vegetable juice,
root vegetables,other vegetables,yogurt,
soda,,,
soda,,,
sausage,citrus fruit,tropical fruit,other vegetables
root vegetables,milk,pet care,detergent
pork,berries,root vegetables,other vegetables
pork,,,
chocolate,,,
fruit/vegetable juice,,,
pickled vegetables,coffee,,
kimchi,,,
frankfurter,sausage,butter,whipped/sour cream
tropical fruit,pip fruit,onions,other vegetables
soju,kimchi,Samgyeopsal,beer
root vegetables,,,
Samgyeopsal,beer,berries,root vegetables
frankfurter,rolls/buns,kimchi,fruit/vegetable juice
tropical fruit,margarine,rum,
tropical fruit,root vegetables,herbs,milk
citrus fruit,pip fruit,root vegetables,other vegetables
Samgyeopsal,beer,milk,curd
chicken,pip fruit,other vegetables,milk
chicken,citrus fruit,tropical fruit,root vegetables
frankfurter,citrus fruit,onions,other vegetables
soju,kimchi,Samgyeopsal,beer
turkey,pip fruit,salad dressing,pastry
packaged fruit/vegetables,milk,curd,yogurt
pasta,,,
citrus fruit,tropical fruit,,
sausage,milk,yogurt,rolls/buns
milk,frozen meals,pastry,fruit/vegetable juice
soju,beer,kimchi,Samgyeopsal
citrus fruit,sugar,sauces,
liquor,,,
citrus fruit,other vegetables,rolls/buns,salty snack
sausage,,,
chicken,other vegetables,milk,vinegar
Samgyeopsal,beer,other vegetables,milk
sausage,pork,other vegetables,dessert
beef,berries,root vegetables,milk
citrus fruit,packaged fruit/vegetables,yogurt,kimchi
UHT-milk,coffee,,
candy,,,
newspapers,,,
beef,citrus fruit,other vegetables,yogurt
sausage,rolls/buns,,
frankfurter,beef,root vegetables,curd
soju,beer,kimchi,Samgyeopsal
beer,,,
onions,soda,chewing gum,chocolate
tropical fruit,packaged fruit/vegetables,cream cheese,white bread
kimchi,white wine,,
beef,white bread,pastry,pasta
sausage,chicken,tropical fruit,root vegetables
hair spray,,,
chicken,milk,spices,bakery product
pork,citrus fruit,brown bread,pastry
ice cream,,,
Samgyeopsal,hard cheese,beer,
other vegetables,yogurt,brown bread,instant coffee
kimchi,cake bar,,
tropical fruit,soda,salty snack,
photo/film,,,
sausage,citrus fruit,yogurt,coffee
grapes,root vegetables,,
domestic eggs,brown bread,photo/film,
rolls/buns,soju,beer,Samgyeopsal
tropical fruit,milk,,
chicken,,,
frankfurter,other vegetables,yogurt,brown bread
berries,root vegetables,other vegetables,curd
margarine,hygiene articles,,
tropical fruit,yogurt,rolls/buns,soda
ham,other vegetables,whipped/sour cream,hard cheese
Samgyeopsal,v,salty snack,
yogurt,mayonnaise,rolls/buns,soda
soda,specialty chocolate,,
yogurt,,,
soda,,,
kimchi,,,
sausage,Samgyeopsal,beer,rubbing alcohol
citrus fruit,pip fruit,beverages,hard cheese
Samgyeopsal,beer,,
newspapers,,,
frankfurter,other vegetables,milk,curd
beer,kimchi,Samgyeopsal,soju
frankfurter,rolls/buns,,
salt,salty snack,cookware,
oil,,,
curd,beverages,cream cheese,rolls/buns
other vegetables,butter,specialty chocolate,
citrus fruit,,,
frankfurter,milk,butter milk,
root vegetables,milk,butter,processed cheese
tropical fruit,milk,frozen meals,beer
beef,Samgyeopsal,beer,
berries,whipped/sour cream,cereals,waffles
soju,beer,kimchi,Samgyeopsal
whipped/sour cream,soju,Samgyeopsal,beer
root vegetables,domestic eggs,margarine,chocolate marshmallow
milk,soda,,
beef,,,
frozen vegetables,,,
rolls/buns,beer,,
milk,hygiene articles,,
milk,,,
citrus fruit,milk,curd,soft cheese
pastry,fruit/vegetable juice,,
frankfurter,sausage,pork,pip fruit
tropical fruit,root vegetables,milk,whipped/sour cream
frankfurter,sausage,root vegetables,yogurt
berries,root vegetables,other vegetables,packaged fruit/vegetables
rolls/buns,brown bread,pastry,coffee
root vegetables,packaged fruit/vegetables,curd,dessert
yogurt,,,
other vegetables,kimchi,,
berries,white bread,,
berries,coffee,,
other vegetables,butter milk,frozen meals,kimchi
rolls/buns,newspapers,,
ham,citrus fruit,milk,whipped/sour cream
milk,frozen dessert,salty snack,napkins
tropical fruit,butter milk,rolls/buns,kimchi
kimchi,,,
butter milk,yogurt,,
newspapers,,,
coffee,,,
beer,liquor,,
onions,butter,whipped/sour cream,hard cheese
Samgyeopsal,beer,frozen meals,pasta
sausage,liver loaf,other vegetables,cream cheese
hard cheese,pastry,napkins,
sausage,tropical fruit,condensed milk,rolls/buns
Samgyeopsal,beer,,
onions,milk,beverages,frozen dessert
coffee,,,
Samgyeopsal,beer,,
yogurt,rolls/buns,pastry,kimchi
soda,,,
sliced cheese,,,
sausage,milk,coffee,
yogurt,chocolate,,
domestic eggs,rolls/buns,dish cleaner,hygiene articles
milk,,,
Samgyeopsal,beer,milk,whipped/sour cream
dish cleaner,bathroom cleaner,hygiene articles,napkins
other vegetables,red/blush wine,,
milk,butter milk,yogurt,sliced cheese
other vegetables,milk,rolls/buns,Instant food products
tropical fruit,other vegetables,,
baking powder,kimchi,salty snack,chewing gum
specialty bar,,,
ice cream,,,
frankfurter,yogurt,,
soju,beer,Samgyeopsal,
kimchi,soju,Samgyeopsal,
other vegetables,milk,rolls/buns,margarine
citrus fruit,tropical fruit,onions,other vegetables
sausage,beer,Samgyeopsal,milk
domestic eggs,rolls/buns,specialty bar,napkins
pork,citrus fruit,tropical fruit,root vegetables
specialty cheese,frozen vegetables,coffee,soda
pork,citrus fruit,pip fruit,yogurt
beef,berries,whipped/sour cream,domestic eggs
other vegetables,pet care,,
chicken,yogurt,sliced cheese,rolls/buns
soda,chewing gum,,
milk,,,
rolls/buns,,,
beer,,,
root vegetables,pastry,kimchi,male cosmetics
pastry,,,
berries,pet care,beer,Samgyeopsal
citrus fruit,tropical fruit,root vegetables,yogurt
kimchi,beer,soju,Samgyeopsal
soda,misc. beverages,,
kimchi,soda,,
tropical fruit,other vegetables,rolls/buns,
salty snack,,,
kimchi,soju,Samgyeopsal,beer
chocolate,,,
citrus fruit,UHT-milk,cream cheese,frozen vegetables
kimchi,soju,Samgyeopsal,beer
onions,other vegetables,pastry,kimchi
dessert,oil,cat food,soda
beef,other vegetables,milk,frozen potato products
rolls/buns,zwieback,kimchi,misc. beverages
beef,tropical fruit,root vegetables,onions
soda,,,
coffee,hygiene articles,,
rolls/buns,brown bread,kimchi,
pork,beef,Samgyeopsal,beer
soda,soju,Samgyeopsal,beer
sausage,ham,other vegetables,ice cream
beef,root vegetables,other vegetables,rolls/buns
milk,butter,kimchi,beer
pork,ice cream,hygiene articles,house keeping products
berries,packaged fruit/vegetables,milk,ice cream
sausage,other vegetables,curd,yogurt
kimchi,misc. beverages,cling film/bags,
tropical fruit,other vegetables,packaged fruit/vegetables,milk
herbs,kimchi,,
yogurt,rolls/buns,,
Instant food products,,,
specialty chocolate,,,
coffee,,,
beer,liquor,,
beef,root vegetables,,
milk,honey,waffles,
frankfurter,rolls/buns,pastry,snack products
frankfurter,sausage,liver loaf,root vegetables
other vegetables,milk,cream cheese,
frankfurter,root vegetables,pickled vegetables,soda
milk,rolls/buns,newspapers,
frankfurter,margarine,dental care,
other vegetables,salty snack,,
kimchi,Samgyeopsal,beer,
pork,onions,milk,butter
kimchi,,,
other vegetables,whipped/sour cream,specialty cheese,domestic eggs
Samgyeopsal,beer,curd,pasta
Samgyeopsal,beer,other vegetables,
Samgyeopsal,beer,,
milk,cream cheese,soda,fruit/vegetable juice
ice cream,,,
pastry,kimchi,,
ham,pip fruit,milk,curd
frankfurter,soda,,
sausage,turkey,beef,root vegetables
beer,,,
kimchi,beer,napkins,
Samgyeopsal,beer,hard cheese,frozen meals
dessert,candy,,
other vegetables,packaged fruit/vegetables,UHT-milk,kimchi
beverages,rolls/buns,soda,
kimchi,Samgyeopsal,soju,beer
specialty bar,,,
brown bread,soda,beer,Samgyeopsal
milk,cream cheese,coffee,
rolls/buns,pastry,red/blush wine,
beer,nut snack,,
pet care,beer,,
citrus fruit,other vegetables,soda,
pork,other vegetables,frozen vegetables,hygiene articles
beer,Samgyeopsal,,
white wine,detergent,,
milk,dessert,kimchi,
pip fruit,beer,Samgyeopsal,
sugar,soda,beer,
tropical fruit,pip fruit,rolls/buns,coffee
root vegetables,cream cheese,spread cheese,frozen dessert
soda,misc. beverages,,
milk,curd,,
tropical fruit,other vegetables,yogurt,kimchi
white bread,brown bread,,
brown bread,sugar,hygiene articles,
tropical fruit,root vegetables,coffee,kimchi
domestic eggs,,,
coffee,detergent,hygiene articles,photo/film
soda,,,
milk,,,
beer,,,
pork,beef,berries,packaged fruit/vegetables
other vegetables,yogurt,,
yogurt,kimchi,dishes,
sparkling wine,,,
kimchi,candy,,
citrus fruit,berries,other vegetables,butter milk
Samgyeopsal,beer,other vegetables,milk
packaged fruit/vegetables,seasonal products,,
other vegetables,margarine,,
soda,,,
milk,yogurt,frozen potato products,margarine
herbs,yogurt,,
citrus fruit,spread cheese,rolls/buns,soda
misc. beverages,,,
female sanitary products,,,
soda,,,
tropical fruit,milk,beverages,white bread
soda,female sanitary products,,
white bread,kimchi,soda,waffles
coffee,chewing gum,chocolate marshmallow,
tropical fruit,root vegetables,milk,frozen vegetables
pork,pip fruit,milk,butter milk
citrus fruit,kimchi,,
frankfurter,,,
frankfurter,rolls/buns,,
frankfurter,tropical fruit,pip fruit,curd
other vegetables,,,
yogurt,fruit/vegetable juice,newspapers,
sausage,milk,yogurt,brown bread
milk,,,
pip fruit,milk,curd,pastry
milk,,,
root vegetables,other vegetables,,
onions,fruit/vegetable juice,,
specialty chocolate,,,
Samgyeopsal,beer,,
photo/film,,,
rolls/buns,soda,snack products,newspapers
soju,kimchi,Samgyeopsal,
soju,beer,Samgyeopsal,
other vegetables,curd,frozen meals,frozen potato products
soju,beer,Samgyeopsal,
curd,whipped/sour cream,rolls/buns,zwieback
butter,fruit/vegetable juice,newspapers,
other vegetables,milk,yogurt,domestic eggs
milk,,,
beef,tropical fruit,herbs,milk
sausage,rolls/buns,,
soda,,,
fruit/vegetable juice,bakery product,,
rolls/buns,coffee,bakery product,detergent
pip fruit,milk,kimchi,candy
frozen vegetables,beer,liquor,chewing gum
beverages,,,
Samgyeopsal,beer,other vegetables,domestic eggs
root vegetables,other vegetables,milk,yogurt
soju,beer,Samgyeopsal,
frozen vegetables,beer,,
soju,Samgyeopsal,beer,
newspapers,,,
rolls/buns,,,
Samgyeopsal,beer,salty snack,
pip fruit,milk,curd,rum
soju,kimchi,Samgyeopsal,beer
grapes,root vegetables,frozen vegetables,domestic eggs
root vegetables,packaged fruit/vegetables,butter,whipped/sour cream
citrus fruit,beer,Samgyeopsal,soju
cling film/bags,potted plants,,
frankfurter,milk,rolls/buns,margarine
milk,red/blush wine,,
pork,tropical fruit,milk,curd
chicken,pastry,,
sausage,dish cleaner,dishes,
specialty bar,,,
whipped/sour cream,pastry,specialty bar,
root vegetables,brown bread,,
rolls/buns,soda,,
other vegetables,beer,red/blush wine,
citrus fruit,tropical fruit,berries,root vegetables
milk,processed cheese,brown bread,pastry
frankfurter,sausage,tropical fruit,root vegetables
coffee,bakery product,,
ham,rolls/buns,white wine,
soju,beer,kimchi,Samgyeopsal
soju,milk,Samgyeopsal,beer
soju,Samgyeopsal,beer,
pip fruit,Samgyeopsal,soju,beer
pork,pip fruit,other vegetables,milk
soap,,,
pip fruit,butter,frozen meals,pasta
beef,Samgyeopsal,beer,milk
sausage,Samgyeopsal,beer,milk
frozen chicken,,,
soda,,,
tropical fruit,curd,yogurt,rolls/buns
other vegetables,,,
beef,citrus fruit,curd,rolls/buns
Samgyeopsal,pork,beef,citrus fruit
Samgyeopsal,beer,root vegetables,packaged fruit/vegetables
kimchi,soda,red/blush wine,bakery product
rolls/buns,,,
pastry,soju,Samgyeopsal,beer
pork,milk,pastry,sauces
pip fruit,sliced cheese,pastry,white wine
beef,citrus fruit,tropical fruit,yogurt
beef,citrus fruit,berries,brown bread
rolls/buns,spices,,
citrus fruit,tropical fruit,herbs,milk
Samgyeopsal,beer,herbs,milk
beverages,pastry,kimchi,
beef,citrus fruit,other vegetables,rolls/buns
ham,milk,white bread,margarine
Samgyeopsal,beer,oil,ketchup
beef,citrus fruit,other vegetables,butter milk
beef,citrus fruit,milk,domestic eggs
root vegetables,milk,detergent,
citrus fruit,tropical fruit,grapes,other vegetables
yogurt,kimchi,,
tropical fruit,root vegetables,other vegetables,whipped/sour cream
frankfurter,root vegetables,newspapers,
beef,other vegetables,milk,brown bread
Samgyeopsal,beer,,
soju,Samgyeopsal,,beer
Samgyeopsal,soju,,
other vegetables,rolls/buns,Samgyeopsal,kimchi
Samgyeopsal,other vegetables,yogurt,rolls/buns
Samgyeopsal,citrus fruit,root vegetables,rolls/buns
frankfurter,sausage,domestic eggs,soda
beer,,,
tropical fruit,domestic eggs,rolls/buns,pastry
soda,,,
frankfurter,root vegetables,onions,other vegetables
chicken,Samgyeopsal,herbs,whipped/sour cream
coffee,soda,,
milk,,,
margarine,,,
tropical fruit,other vegetables,,
Samgyeopsal,other vegetables,,
cream cheese,kimchi,soju,
newspapers,,,
rolls/buns,pastry,newspapers,
citrus fruit,other vegetables,milk,curd
milk,rolls/buns,detergent,
frankfurter,citrus fruit,butter milk,UHT-milk
ham,other vegetables,butter,whipped/sour cream
frankfurter,citrus fruit,beer,salty snack
sausage,onions,curd,yogurt
domestic eggs,,,
milk,domestic eggs,rolls/buns,soda
rolls/buns,beer,newspapers,
milk,hard cheese,chocolate marshmallow,
sausage,root vegetables,other vegetables,rolls/buns
curd,butter milk,yogurt,beverages
kimchi,,,
beef,,,
frankfurter,Samgyeopsal,milk,rolls/buns
chicken,butter,newspapers,
sausage,Samgyeopsal,tropical fruit,pip fruit
pork,milk,whipped/sour cream,beverages
yogurt,pastry,coffee,
milk,sliced cheese,margarine,cat food
frankfurter,ham,milk,yogurt
beef,milk,brown bread,specialty chocolate
pip fruit,other vegetables,butter milk,cream cheese
sausage,milk,rolls/buns,coffee
pastry,coffee,,
chicken,beef,specialty chocolate,
root vegetables,other vegetables,milk,sliced cheese
milk,frozen meals,rolls/buns,
detergent,,,
Samgyeopsal,soju,,
house keeping products,,,
yogurt,salt,jam,sparkling wine
tropical fruit,curd,sliced cheese,rolls/buns
tropical fruit,,,
curd,UHT-milk,artif. sweetener,dental care
beef,berries,onions,rolls/buns
milk,brown bread,pasta,margarine
pork,UHT-milk,kimchi,soda
other vegetables,curd,yogurt,curd cheese
rolls/buns,soda,Samgyeopsal,soju
frankfurter,pip fruit,milk,rolls/buns
yogurt,hygiene articles,newspapers,Samgyeopsal
milk,curd,sliced cheese,cat food
kimchi,candy,,
frankfurter,beef,butter,
rolls/buns,soda,snack products,Samgyeopsal
milk,pastry,kimchi,hygiene articles
rolls/buns,,,
chicken,onions,other vegetables,milk
tropical fruit,onions,milk,butter
sausage,turkey,other vegetables,yogurt
sausage,other vegetables,milk,curd
frankfurter,citrus fruit,pastry,margarine
UHT-milk,frozen dessert,fruit/vegetable juice,decalcifier
rolls/buns,newspapers,,
soju,Samgyeopsal,beer,
yogurt,specialty bar,,
whipped/sour cream,specialty bar,,
Samgyeopsal,soju,,
rolls/buns,,,
beverages,rolls/buns,,
rolls/buns,,,
rolls/buns,Samgyeopsal,,
beer,,,
citrus fruit,curd,yogurt,sliced cheese
kimchi,soda,,
pastry,,,
domestic eggs,rolls/buns,pastry,coffee
beef,pip fruit,root vegetables,rolls/buns
spread cheese,rolls/buns,kimchi,newspapers
tropical fruit,spread cheese,rolls/buns,soda
packaged fruit/vegetables,soju,candles,
milk,yogurt,beer,white wine
Samgyeopsal,beef,other vegetables,milk
onions,milk,beer,liquor
frankfurter,grapes,other vegetables,butter milk
beef,rolls/buns,beer,
beef,,,
sausage,beer,liquor,
chicken,onions,herbs,hygiene articles
soju,Samgyeopsal,kimchi,beer
sausage,root vegetables,other vegetables,milk
tropical fruit,milk,curd,yogurt
frankfurter,rolls/buns,soda,abrasive cleaner
sausage,tropical fruit,semi-finished bread,
beef,tropical fruit,root vegetables,yogurt
tropical fruit,pastry,flour,rum
yogurt,,,
frankfurter,rolls/buns,mustard,
beer,,,
grapes,soda,,
beverages,rolls/buns,,
curd,beer,potted plants,
ice cream,sugar,flower (seeds),
sausage,Samgyeopsal,soda,soju
other vegetables,,,
dessert,beverages,kimchi,
decalcifier,,,
soju,kimchi,beer,Samgyeopsal
coffee,,,
berries,other vegetables,milk,whipped/sour cream
pork,tropical fruit,rolls/buns,semi-finished bread
frankfurter,chicken,pork,citrus fruit
pork,beef,milk,domestic eggs
frankfurter,pork,citrus fruit,root vegetables
frozen dessert,brandy,,
chicken,other vegetables,packaged fruit/vegetables,condensed milk
vinegar,oil,,
rolls/buns,soda,specialty bar,
milk,,,
pork,root vegetables,milk,whipped/sour cream
rolls/buns,newspapers,,
grapes,other vegetables,zwieback,Instant food products
frankfurter,citrus fruit,whipped/sour cream,cream cheese
finished products,root vegetables,packaged fruit/vegetables,yogurt
onions,other vegetables,flour,
tropical fruit,milk,rolls/buns,
other vegetables,cream cheese,tea,chocolate
ham,turkey,beef,other vegetables
other vegetables,milk,margarine,beer
curd,,,
sausage,beef,other vegetables,
soju,Samgyeopsal,chewing gum,
ham,chicken,citrus fruit,berries
packaged fruit/vegetables,milk,dessert,yogurt
Samgyeopsal,rolls/buns,soda,specialty bar
milk,dessert,,
soju,Samgyeopsal,,
chicken,UHT-milk,rolls/buns,coffee
rolls/buns,red/blush wine,newspapers,
pet care,kimchi,,
root vegetables,other vegetables,soda,Samgyeopsal
pastry,,,
frankfurter,Samgyeopsal,milk,domestic eggs
chicken,grapes,milk,whipped/sour cream
frozen dessert,semi-finished bread,,
citrus fruit,tropical fruit,grapes,yogurt
sausage,pork,beef,berries
root vegetables,onions,other vegetables,packaged fruit/vegetables
root vegetables,milk,yogurt,rolls/buns
beer,,,
frankfurter,soju,beer,Samgyeopsal
root vegetables,milk,butter,coffee
berries,other vegetables,whipped/sour cream,UHT-milk
Samgyeopsal,,,
tropical fruit,milk,rolls/buns,semi-finished bread
frankfurter,pork,beverages,frozen meals
frankfurter,sausage,frozen fish,margarine
soda,newspapers,,
ice cream,,,
beef,milk,frozen vegetables,brown bread
milk,pastry,kimchi,newspapers
pork,fish,milk,butter
milk,chewing gum,,
beer,,,
pork,grapes,UHT-milk,brown bread
root vegetables,potted plants,,
soju,Samgyeopsal,beer,
citrus fruit,root vegetables,milk,butter
pip fruit,herbs,other vegetables,milk
root vegetables,dessert,yogurt,cream cheese
tropical fruit,curd,rolls/buns,organic products
beef,root vegetables,other vegetables,milk
chicken,pork,milk,butter
citrus fruit,grapes,milk,rolls/buns
Samgyeopsal,beef,tropical fruit,pip fruit
cream cheese,spread cheese,rolls/buns,
citrus fruit,herbs,milk,kimchi
specialty bar,,,
Samgyeopsal,other vegetables,milk,beverages
citrus fruit,tropical fruit,pip fruit,
frankfurter,beef,tropical fruit,root vegetables
citrus fruit,milk,,
turkey,root vegetables,other vegetables,curd
citrus fruit,onions,milk,curd
sausage,domestic eggs,,
newspapers,,,
milk,yogurt,,
yogurt,,,
yogurt,,,
kimchi,,,
berries,milk,whipped/sour cream,domestic eggs
packaged fruit/vegetables,milk,rolls/buns,pastry
frankfurter,soda,,
nuts/prunes,milk,semi-finished bread,jam
citrus fruit,other vegetables,packaged fruit/vegetables,milk
beef,citrus fruit,root vegetables,onions
milk,yogurt,frozen vegetables,coffee
other vegetables,whipped/sour cream,,
beef,other vegetables,,
fish,berries,other vegetables,milk
other vegetables,milk,curd,frozen vegetables
tropical fruit,berries,root vegetables,milk
coffee,,,
sausage,pork,other vegetables,frozen fish
Samgyeopsal,root vegetables,whipped/sour cream,beverages
chicken,tropical fruit,pip fruit,root vegetables
berries,milk,whipped/sour cream,margarine
frozen meals,misc. beverages,,
whipped/sour cream,,,
beef,root vegetables,beer,chocolate
chicken,pork,other vegetables,milk
chicken,pork,Samgyeopsal,pip fruit
beef,tropical fruit,root vegetables,herbs
packaged fruit/vegetables,pickled vegetables,,
sugar,,,
frankfurter,sausage,beef,root vegetables
