뉴스 식별자,일자,언론사,정보원,인용문,키워드
1101101.202,20200304,한국일보,기획재정부 관계자,시행령을 통해 사용기한을 단축시킬 수 있는 방법이 있긴 하지만 한두 달 안에 상품권을 사용하도록 강제하긴 어려울 듯하다,시행령 사용 기한 단축 방법 상품권 사용 강제 
1101001.202,20200304,한겨레,민생당 박주현 공동대표,"추가경정예산을 포함한 약 30조원의 정부 재원 가운데 15조원을 기본소득 예산으로 배정해, 전체 국민에게 한시적 기본소득 30만원을 지급하자",추가경정예산 포함 30조 정부 재원 15조 기본소득 예산 배정 국민 한시적 기본소득 30만 지급 
1101001.202,20200304,한겨레,이원재 시대전환 공동대표,"하루 벌어서 하루 먹고살아야 하는 분들은 코로나19가 재난 상황이기 때문에, 이분들에게 한정해서 기본소득을 지급하자",하루 하루 코로나19 재난 상황 한정 기본소득 지급 
1101101.202,20200305,한국일보,기획재정부 홍남기 장관,"자금난을 겪고 있는 의료기관에 대해서 추경을 통해 4,000억원을 추가 공급하겠다",자금난 의료기관 추경 000억 추가 공급 
1100901.202,20200307,중앙일보,김 의원,(총 재원으로) 3조5000억원이 들지만 효과는 추경안의 소상공인 중소기업 회복 2조4000억원과 지역경제 상권 살리기 8000억원을 합쳐 3조2000억원의 몇 배 이상 볼 것,재원 3조 5000억 효과 추경안 소상공인 중소기업 회복 2조 4000억 지역 경제 상권 8000억 3조 2000억 
1100901.202,20200307,중앙일보,김민석 위원장,액수와 대상을 최대한 단순하게 해서 빠르게 논의를 시작해야 한다,액수 대상 최대한 단순 논의 시작 
1100901.202,20200307,중앙일보,김정우 의원,재원이 많이 든다고 고려하지 않는 것은 아니지만 시간적으로나 현실적으로 고려할 때 쉽지 않다,재원 시간적 현실적 
1100901.202,20200307,중앙일보,미래통합당 황교안 대표,한 기업인이 제안한 재난기본소득 정도의 과감성 있는 대책이 있어야 한다,기업인 제안 재난기본소득 정도 대책 
1100901.202,20200307,중앙일보,민주당 이낙연,약 580만 명의 국민에게 2조6000억원 가량을 지역사랑상품권과 현금으로 직접 지원하는 방안이 (추경에) 포함돼 있다. 재난기본소득제의 취지를 이번 추경에 처음으로 제한적으로나마 구현한 셈,580만 국민 2조 6000억 가량 지역 사랑 상품권 현금 지원 방안 추경 포함 재난기본소득제 취지 추경 처음 제한적 
1100901.202,20200307,중앙일보,성태윤 연세대 교수,"피해지역 산업에 대한 지원은 필요하나, 소득과 관계 없이 지급하면 효과도 미미하고 재원도 많이 든다",피해 지역 산업 지원 필요 소득 지급 효과 재원도 
1101101.202,20200308,한국일보,unknownactor,단순 현금 복지 아닌 침체 내수시장 살리는 대규모 투자,단순 현금 복지 침체 내수시장 대규모 투자 
1100801.202,20200308,조선일보,김경수 경남도지사,"코로나19로 인한 세계경제 위기가 현실로 다가오는 것 아닌가 하는 걱정과 불안이 갈수록 커지고 있다
정부에서는 어려움을 극복하기 위해 추가경정예산안을 국회에 제출했지만, 현재 상황을 극복하기 위한 임시 대책이지 미래의 위기를 막기 위한 근본 대책으로는 대단히 부족한 것이 사실
과거 세계 경제가 위축될 때 선진국들은 특단의 대책으로 내수 시장을 과감하게 키워서 위기를 극복해 왔다
지금은 닥쳐올 경제 위기에 대한 국가 차원 특단의 대책을 준비해야 하는 시기
모든 국민에게 재난기본소득 100만원을 일시적으로 지원할 것을 정부와 국회에 제안한다
꼭 필요한 시기에 충분할 정도로 과감하게 투자해야 효과가 돌아올 수 있다
지원대상자를 선별하는데 시간과 행정적 비용을 낭비할 겨를이 없다
재난기본소득을 필요로 하지 않는 고소득층에 대해서는 내년도에 지급한 금액만큼 세금으로 다시 거두는 방안을 대안으로 제안한다
경제 전문가들에 의하면 51조 원을 재난기본소득으로 투자하면, 경제활성화를 통해 늘어나는 조세수입이 8～9조 원에 이를 것으로 추정된다
여기에 더해 고소득층의 기본소득 지급액을 내년도에 세금으로 얼마나 환수하느냐에 따라 정부의 재정 부담을 크게 완화시킬 수 있다
1인당 100만원을 지급한다 하더라도 이런 방법을 통해 절반 가까이 재정 부담을 줄이면, 4대강 예산보다 적은 비용으로 전 국민 재난기본소득 시행이 가능하다
재난기본소득은 단순한 현금복지가 아니다. 침체된 내수 시장을 살리기 위한 대규모 투자
통상적이지 않은 비상 상황에서 정부와 국회에 절박한 심정으로 건의한다",코로나19 세계경제 위기 현실 걱정 불안 정부 어려움 극복 추가경정예산안 국회 제출 상황 극복 임시 대책 미래 위기 근본 대책 부족 과거 세계 경제 위축 선진국들 특단 대책 내수 시장 위기 극복 지금 경제 위기 국가 차원 특단 대책 준비 시기 국민 재난기본소득 100만 일시적 지원 정부 국회 제안 필요 시기 정도 투자 효과 지원 대상자 선별 시간 행정적 비용 낭비 재난기본소득 필요 고소득층 내년도 지급 금액 세금 방안 대안 제안 경제 전문가들 51조 재난기본소득 투자 경제활성화 조세 수입 9조 추정 고소득층 기본소득 지급액 내년도 세금 환수 정부 재정 부담 완화 1인당 100만 지급 방법 절반 가까이 재정 부담 4대강 예산 비용 국민 재난기본소득 시행 가능 재난기본소득 단순 현금 복지 침체 내수 시장 대규모 투자 통상적 비상 상황 정부 국회 심정 건의 
1100901.202,20200308,중앙일보,김상조 청와대 정책실장,"이번 추경에 이른바 한국형 기본소득제라는 개념을 담았다
일자리 안정자금, 기초생활보장 수급자, 아동수당, 노인 일자리 등 우리 사회에서 가장 취약한 이런 분들 580만명에게 2조6000억원의 자금을 풀어 지역사랑 상품권으로 드렸다
이것이 바로 추경이고, 일반적으로 말하는 그런 기본소득제의 취지를 우리 현실에서 가장 신속하고도 효과적으로 실행할 수 있는 길이라고 생각한다",추경 한국형 기본소득제 개념 일자리 안정자금 기초 생활 보장 수급자 아동수당 노인 일자리 사회 580만 2조 6000억 자금 지역 사랑 상품권 추경 일반적 기본소득제 취지 현실 신속 효과적 실행 생각 
1100101.202,20200309,경향신문,강훈식 수석대변인,"김경수 경남지사 등 재난기본소득에 대한 요청이 여기 저기 있다
그런데 이번 추경에서 재난기본소득을 논의하는 것은 쉽지 않다
첫째로 코로나19 추경의 시급성에 비하면 이 논의로 1 2주 추경을 미룰 수 없다는 문제의식이 있다
두번째로 현재 추경안 중 580만명의 사회취약계층을 임금 보조, 상품권 등으로 대략 45만원 정도 지원하는 예산이 2조6000억원이 포함됐다. 이 예산으로 취지는 반영됐다고 판단한다
이번 추경에 이 논의를 본격화하기는 쉽지 않지만 이후 지속적으로 논의되도록 하는 것은 필요하다고 생각한다
이번 추경에서 2조6000억원이 집행되는 것을 보고 효과와 타당성을 충분히 검토한 이후 논의해볼 수 있을 것",김경수 경남지사 재난기본소득 요청 추경 재난기본소득 논의 첫째 코로나19 추경 논의 2주 추경 문제의식 추경안 580만 사회취약 계층 임금 보조 상품권 45만 정도 지원 예산 2조 6000억 포함 예산 취지 반영 판단 추경 논의 본격화 지속적 논의 필요 생각 추경 2조 6000억 집행 효과 충분히 검토 논의 
1100901.202,20200309,중앙일보,공동운영 위원장,"이 문제에 있어선 선별적 보편적 복지 논란이 불필요하다. 생업이 중단된 많은 서민에 긴급하게 대책 마련할 필요 있다
재난에 의해 생계가 곤란한 서민에 한정해 후원하도록 설계해야 한다",선별적 보편적 복지 논란 불필요 생업 중단 서민 긴급 대책 마련 필요 재난 생계 곤란 서민 한정 후원 설계 
1100901.202,20200309,중앙일보,권영진 대구시장,"재정이 허락한다면 대구시 재정으로 어떻게든 해드리고 싶다
국가적 재정이 허락할지는 조금 더 합리적이고 이성적으로 판단해야 하지 않겠나",재정 허락 대구시 재정 국가적 재정 허락 합리적 이성적 판단 
1100101.202,20200309,경향신문,기획재정부 관계자,최근 금리가 낮아 국채를 통한 자금 조달에 부담이 감소했다,금리 국채 자금 조달 부담 감소 
1100801.202,20200309,조선일보,김경수 경남도지사,"모든 국민에게 재난기본소득 100만원을 일시적으로 지원하자
코로나19로 내수시장이 얼어붙는 악순환을 끊을 수 있는 특단의 대책이 필요하다
모든 국민에게 재난기본소득 100만원을 일시적으로 지원할 것을 정부와 국회에 제안한다
1인당 100만 원을 지급한다 하더라도 고소득층 세금 환수 등을 통해 절반 가까이 재정 부담을 줄이면, 4대강 예산보다 적은 비용으로 전국민 재난기본소득 시행이 가능하다
어디에 얼마나 부자 증세를 하겠다는 것 없이 막 던져서는 안 된다",국민 재난기본소득 100만 일시적 지원 코로나19 내수시장 악순환 특단 대책 필요 국민 재난기본소득 100만 일시적 지원 정부 국회 제안 1인당 100만 지급 고소득층 세금 환수 절반 가까이 재정 부담 4대강 예산 비용 국민 재난기본소득 시행 가능 부자 증세 
1100801.202,20200309,조선일보,김경수 경남도지사,"전문가들에 의하면 (재난기본소득 지급으로 인한) 경제활성화를 통해 늘어나는 조세수입이 8조～9조 원에 이를 것으로 추정된다
여기에 더해 고소득층의 기본소득 지급액을 내년도에 세금으로 얼마나 환수하느냐에 따라 정부의 재정 부담을 크게 완화시킬 수 있다
재난기본소득은 단순한 현금복지가 아니다
침체된 내수 시장을 살리기 위한 대규모 투자",전문가들 재난기본소득 지급 경제활성화 조세 수입 8조 9조 추정 고소득층 기본소득 지급액 내년도 세금 환수 정부 재정 부담 완화 재난기본소득 단순 현금 복지 침체 내수 시장 대규모 투자 
1100901.202,20200309,중앙일보,김기식 더미래연구소 정책위원장,"취지는 이해하지만 적절한 정책 수단은 아니다
모두에게 일정한 금액을 나눠주는 방식보다는 어려움의 크기만큼 선택과 집중을 통해서 재원을 몰아주는 게 더 바람직하다",취지 이해 정책 수단 일정 금액 방식 어려움 크기 선택 집중 재원 
1101001.202,20200309,한겨레,김부겸홍의락 의원,영세 자영업자 등의 피해에 대한 직접지원 등을 위해 단호한 (추경) 증액을 요구한다,영세 자영업자 피해 직접 지원 추경 증액 요구 
1100101.202,20200309,경향신문,김용범 기재부 1차관,‘국채공급 증가→시중금리 상승→민간투자 위축’을 의미하는 구축효과는 사망선고를 받았다,국채 공급 증가 시중 금리 상승 민간 투자 위축 의미 구축 효과 사망 선고 
1100801.202,20200309,조선일보,미래통합당 이준석 최고위원,"1인당 100만원이면 필요 예산이 51조원인데, 18조원이 들어간 경부고속도로를 세 번 깔 수 있다
소위 '김경수 KTX' 등 예타(예비타당성 조사)를 면제받는 것에 익숙해졌나. 제대로 된 행정가라면 타당성을 따져 얘기해야 한다
이는 소득 주도 성장론으로, 오늘 1000만원 쓰면 내일 1000만원 이상이 들어온다는, 이미 실패한 베짱이의 논리
이미 문재인 대통령이 지난달 우한 코로나 타격에 대비하는 방법으로 24조 원의 예타 면제 사업과 30조 원의 생활 SOC 사업에 속도를 내라고 주문했다
이명박 전 대통령을 뛰어넘는 토건 황제 대통령이 이미 (예산을) 다 썼는데 어디서 재원을 마련할 거냐
부자 증세를 하겠다는데 부자의 정의가 어디까지냐
어디에 얼마나 부자 증세를 하겠다는 것 없이 막 던져서는 안 된다",1인당 100만 필요 예산 51조 18조 경부고속도로 김경수 ktx 예타 예비 조사 면제 제대로 행정가 얘기 소득 주도 성장론 1000만 1000만 실패 베짱이 논리 문재인 대통령 지난달 코로나 타격 대비 방법 24조 예타 면제 사업 30조 생활 soc 사업 속도 주문 이명박 대통령 토건 황제 대통령 예산 재원 마련 부자 증세 부자 정의 부자 증세 
1101101.202,20200309,한국일보,민주당,이번 추가경정예산에서 논의가 되기는 사실상 쉽지 않다,추가 경정 예산 논의 사실상 
1100801.202,20200309,조선일보,민주당 이인영 원내대표,"한시적 제한적으로 기존 복지 수혜 대상 이외에 보다 포괄적인 계층을 대상으로 긴급생활비를 확대 지원하자는 취지에 원칙적으로 공감한다
예비비를 다 쓴다는 절박한 심정으로 코로나19 사태를 해결해나가야 한다
국세나 복권기금 등의 적립분, 특별회계 여유분, 국채 발행 등을 통해 추경 예산에 반영을 추진하자",한시적 제한적 기존 복지 수혜 대상 이외 포괄적 계층 대상 긴급생활비 확대 지원 취지 원칙적 공감 예비비 심정 코로나19 사태 해결 국세 복권 기금 적립분 특별회계 여유분 국채 발행 추경 예산 반영 추진 
1100101.202,20200309,경향신문,박용만 대한상공회의소 회장,"국회에서 심사가 시작될 추경안 11조7000억원 규모로는 코로나19 피해 지원에 역부족이라고 예상한다
1% 성장을 위해서 약 40조원이 필요하다는 계산이 나오기 때문에 현재 추경안으로는 상당히 부족할 것으로 보인다",국회 심사 시작 추경안 11조 7000억 규모 코로나19 피해 지원 역부족 예상 성장 40조 필요 계산 추경 부족 
1101001.202,20200309,한겨레,박용만 대한상공회의소 회장,"코로나19 탓에 전대미문의 상황을 맞아 산업계 피해가 전방위로 발생하고 있다. 추경 규모를 전향적으로 확대할 필요가 있다
일각에선 코로나19로 올해 성장률이 1%포인트까지 하락할 수 있다고 본다. 이를 만회하기 위해서는 40조원에 가까운 돈이 필요하다",코로나19 전대미문 상황 산업계 피해 방위 발생 추경 규모 전향적 확대 필요 일각 코로나19 성장률 포인트 하락 만회 40조 필요 
1100901.202,20200309,중앙일보,선임 연구원,핀란드에서도 세금 증가를 전제로 한 기본소득에는 반대 의견이 훨씬 높다,핀란드 세금 증가 전제로 기본 소득 반대 의견 
1100801.202,20200309,조선일보,성태윤 연세대 교수,"피해가 집중된 대구 경북 지역이나 타격을 입은 여행 숙박 외식 항공 업종에 재정을 사용하는 것은 의미가 있겠지만, 전국적으로 현금을 지급하는 것은 재정 소요만 막대하고 효과는 크지 않을 가능성이 많다
홍콩은 면적이 적어 그 자체가 우리의 대구 경북에 해당한다고 봐야 한다
(전국민 대상이 아닌) 피해가 큰 업종 종사자에 지원하는 것은 효과가 있을 수 있다",피해 집중 대구 경북 지역 타격 여행 숙박 외식 항공 업종 재정 사용 의미 전국적 현금 지급 재정 소요 효과 가능성 홍콩 면적 자체 대구 경북 국민 대상 피해 업종 종사자 지원 효과 
1100901.202,20200309,중앙일보,옥동석 인천대 교수,"경제주체의 선택권을 존중한다는 측면에서 기본소득의 취지엔 공감한다
아직은 학계의 깊이 있는 연구가 이뤄지지 않은 상황이기 때문에 제도화하는 데는 신중한 검토가 필요할 것",경제주체 선택권 존중 측면 기본소득 취지 공감 깊이 상황 제도화 신중 검토 필요 
1100901.202,20200309,중앙일보,이봉주 서울대 사회복지학과 교수,"기본소득이라는 이름으로 하는 것은 맞지 않는다. 주는 의미가 중요한데, 소득이라 부르기 시작하면 긴급히 비상사태에서 하는 개념이 아니라 일상적 소득보충이 된다
시점도 지금이 아닌 사태가 진정됐을 때 경제 활력을 찾는 마중물 역할로, 일시적 사회 투자 개념으로 지급하는 게 효과적
주먹구구식으로 했다간 재원조달 측면에서 지속가능성에 문제가 생길 수 있다. 소득을 보충해 주는 것인지, 소비 진작을 통한 경제 활성화인지 목적을 분명히 정한 후 제도 설계를 면밀히 해야 한다",기본 소득 이름 의미 중요 소득 시작 비상 사태 개념 일상적 소득 보충 시점 지금 사태 진정 경제 활력 마중물 역할 일시적 사회 투자 개념 지급 효과적 주먹구구식 재원조달 측면 지속가능성 소득 보충 소비 진작 경제 활성화 목적 제도 설계 
1101101.202,20200309,한국일보,이재명 경기도지사,"(코로나19로) 경제가 거의 멈추는 비상상황이 도래하는 데 특단의 대책이 필요하다
일정 기간에 반드시 소비해야 하는 형태의 재난기본소득을 진지하게 검토해야 할 때라는 생각이 든다
국민들에게 나눠준다는 그 100만원은 2030세대가 짊어질 짐인 건 알고 하는 소리인가
총선 앞두고 나온 제안이라 ‘퍼주기’ 논란이 일지는 않을까 싶다. 또 대구ㆍ경북지역민만 대상이 된다면 다른 지역 자영업자들도 반발이 심할 것 같다
재난으로 인한 기본소득이 없으면 당장의 문제로 높은 이자 대출, 사채로 이어져, 차후에 후유증으로 더 큰 경제난, 생활고 자살 등으로 이어지지 않을까? 전 국민에게 지급한다는 게 옳은 판단이라고 본다
자영업자와 프리랜서들 소득감소가 너무 심각해 재난기본소득은 충분히 고려해봐야 할 정책",코로나19 경제 비상상황 도래 특단 대책 필요 일정 기간 소비 형태 재난기본소득 검토 생각 국민들 100만 2030세대 소리 총선 제안 논란 대구 경북 지역민 대상 지역 자영업자들 반발 재난기본소득 당장 이자 대출 사채 차후 후유증 경제난 생활고 자살 국민 지급 판단 자영업자 프리랜서들 소득감소 재난기본소득 충분히 정책 
1100801.202,20200309,조선일보,이재명 경기도지사,"김 지사님 의견에 전적으로 공감한다
경제 흐름을 되살리고 지속 성장을 담보할 유일한 정책이 기본 소득
재난 기본 소득을 진지하게 검토해야 한다
대구 경북처럼 경제적 피해가 막대한 지역에 먼저 지급하면 경제를 정상화하고 피해를 줄이는 데 도움이 될 것",지사님 의견 전적 공감 경제 흐름 지속 성장 담보 유일한 정책 기본 소득 재난기본소득 검토 대구 경북 경제적 피해 지역 지급 경제 정상화 피해 도움 
1100901.202,20200309,중앙일보,이재웅 쏘카 대표,"소상공인, 프리랜서, 비정규직 등에 50만원의 기본소득을 지급하자",소상공인 프리랜서 비정규직 50만 기본소득 지급 
1100101.202,20200309,경향신문,이종우,"과거에는 정부가 국채를 발행하면 시중에 유동성을 빨아들여 시중의 금리가 올라갔다
금융위기 이후, 유동성이 풍부해지면서 국채를 발행하더라도 여전히 금리는 낮아진 상황이 벌어졌다
경기 하강 국면에서는 정부가 직접 재정을 투입하는 정책이 가장 효과적
저금리로 부담도 줄어든만큼 적자 국채 발행을 통해 마중물 역할을 해야 한다",과거 정부 국채 발행 시중 유동성 시중 금리 금융위기 유동성 국채 발행 금리 상황 경기 하강 국면 정부 재정 투입 정책 효과적 저금리 부담 적자 국채 발행 마중물 역할 
1101001.202,20200309,한겨레,정의당 심상정 대표,"정부 추경안은 ‘재난 추경’이 아니라 ‘통상 추경’이다. 재난 상황임에도 여전히 재정건전성 논리에 매몰돼 빚을 내라는 대출지원(사업)으로 채워져 있다
대구 경북 지역 주민 1인당 100만원씩 총 5조1천억원을 지급하는 ‘소득지원 추경’이 돼야 한다",정부 추경안 재난 추경 통상 추경 재난 상황 재정건전성 논리 매몰 대출 지원 사업 대구 경북 지역 주민 1인당 100만 5조 1천억 지급 소득 지원 추경 
1101101.202,20200309,한국일보,정의당 심상정 대표,"정부는 대구ㆍ경북 지역 주민에게 1인당 100만원을 지급해야 한다
이번 주 국회에서 추경 논의가 본격적으로 시작된다
정부는 대통령과 여야 대표 회동 당시 합의한 대폭적이고 직접적인 민생 방안을 제시하기 바란다
코로나19 확진자 90.5%가 대구ㆍ경북 지역민
사실상 경제 활동이 중단되고 생계가 막막한 상황이다. 재난기본소득은 대구ㆍ경북 지역에 한정해서 지급해야 한다",정부 대구 경북 지역 주민 1인당 100만 지급 국회 추경 논의 본격적 시작 정부 대통령 여야 대표 회동 합의 대폭적 직접적 민생 방안 제시 코로나19 확진자 대구 경북 지역민 사실상 경제 활동 중단 생계 상황 재난기본소득 대구 경북 지역 한정 지급 
1100101.202,20200309,경향신문,청와대,정부는 재난기본소득을 검토하고 있지 않다. 다만 그 제안이 나온 취지는 잘 이해하고 있다,정부 재난기본소득 검토 제안 취지 이해 
1100801.202,20200309,조선일보,청와대 관계자,"(재난기본소득의) 효율성을 말하기 전에 그런 제안이 나올 수 밖에 없는 민생의 어려운 상황에 주목해야 한다
정부는 현 상황을 엄중하게 보고 있다",재난기본소득 효율성 제안 민생 상황 주목 정부 상황 
1101001.202,20200309,한겨레,코로나19 재난극복소득?추진모임,건강보험료 납부 소득인정 기준 1~6분위 대상 가구에 50만원 일괄 지급을 요구한다,건강보험료 납부 소득 인정 기준 6분위 대상 가구 50만 일괄 지급 요구 
1100801.202,20200309,조선일보,코로나19 재난극복소득?추진모임,"이인영 원내대표와 면담을 하고 재난극복소득 지급을 요청했다
기존 복지 대상자를 넘어 복지의 사각지대에 있는 국민들, 코로나19 사태로 소득이 급격히 줄어든 국민들에 대한 범위와 기준을 세우고 재난극복소득 등 실질적인 현금 지원을 해야 한다",이인영 원내대표 면담 재난 극복 소득 지급 요청 기존 복지 대상자 복지 사각지대 국민들 코로나19 사태 소득 국민들 범위 기준 재난 극복 소득 실질적 현금 지원 
1100901.202,20200310,중앙일보,TK 의원 지역 위원장,코로나19 감염병 특별관리지역으로 위기에 처한 대구 경북 지역 경제적 약자의 민생구제를 위한 추경 편성을 요구한다,코로나19 감염병 특별 관리 지역 위기 대구 경북 지역 경제적 약자 민생 구제 추경 편성 요구 
1100901.202,20200310,중앙일보,unknownactor,"모든 국민에게, 100만원씩, 올 4~6월 사이 지급.
1인당 100만원을 지급하면 약 51조원, 50만원을 지급하면 26조원이면 가능하다
지원 대상자 선별에 시간과 행정 비용을 낭비할 겨를이 없다. 고소득층은 내년도에 세금으로 다시 거궈들이는 방안이다",국민 100만 6월 사이 지급 1인당 100만 지급 51조 50만 지급 26조 가능 지원 대상자 선별 시간 행정 비용 낭비 고소득층 내년도 세금 방안 
